344.06,2.7709,118.41
267.48,1.5387,-21.236
178.31,0.82057,-33.687
171.49,0.92074,-33.855
171.75,0.5928,-33.663
171.42,1.3806,-33.984
171.23,1.182,-34.302
171.75,0.46107,-34.055
172.07,1.3198,-34.06
171.43,1.0519,-33.854
171.49,1.6442,-33.985
199.34,1.6054,16.231
228.33,1.4886,149.38
242.62,1.2096,315.59
183.83,1.128,427.33
42.192,0.22653,476.92
-10.558,-0.11338,478.78
3.9001,0.034402,479.25
6.8759,0.047464,479.18
1.4843,0.010815,479.26
1.3049,0.010009,479.28
126.95,0.87634,456.15
322.89,0.74297,253.48
343.82,3.5602,119.35
344.19,1.188,122.9
344.1,2.5073,118.68
344.08,2.5071,119.13
344.12,1.8475,119.21
344.08,1.0556,118.61
344.11,1.9795,119.21
